Clave de Licencia,Tipo de Plan,Cliente Asignado (Escribe aquí),Vencimiento,Estado,Precio Sugerido
ADMIN,Maestra,Administrador (Tú),01/01/2030,USO INTERNO,N/A
DEMO,Demo,Escuela de Prueba,31/12/2026,USO INTERNO,N/A
JL-PREM-LFT9-2026,Premium,,31/12/2026,DISPONIBLE,$500 MXN
JL-PREM-RZEM-2026,Premium,,31/12/2026,DISPONIBLE,$500 MXN
JL-PREM-V4F7-2026,Premium,,31/12/2026,DISPONIBLE,$500 MXN
JL-PREM-1REV-2026,Premium,,31/12/2026,DISPONIBLE,$500 MXN
JL-PREM-RBQN-2026,Premium,,31/12/2026,DISPONIBLE,$500 MXN
JL-PREM-OOTY-2026,Premium,,31/12/2026,DISPONIBLE,$500 MXN
JL-PREM-ZWVS-2026,Premium,,31/12/2026,DISPONIBLE,$500 MXN
JL-PREM-QW70-2026,Premium,,31/12/2026,DISPONIBLE,$500 MXN
JL-PREM-WBRP-2026,Premium,,31/12/2026,DISPONIBLE,$500 MXN
JL-PREM-362C-2026,Premium,,31/12/2026,DISPONIBLE,$500 MXN
JL-PREM-4P79-2026,Premium,,31/12/2026,DISPONIBLE,$500 MXN
JL-PREM-HJZT-2026,Premium,,31/12/2026,DISPONIBLE,$500 MXN
JL-PREM-0WYJ-2026,Premium,,31/12/2026,DISPONIBLE,$500 MXN
JL-PREM-WZ21-2026,Premium,,31/12/2026,DISPONIBLE,$500 MXN
JL-PREM-YFEJ-2026,Premium,,31/12/2026,DISPONIBLE,$500 MXN
JL-PREM-APE5-2026,Premium,,31/12/2026,DISPONIBLE,$500 MXN
JL-PREM-7QZZ-2026,Premium,,31/12/2026,DISPONIBLE,$500 MXN
JL-PREM-6AYI-2026,Premium,,31/12/2026,DISPONIBLE,$500 MXN
JL-PREM-4R3H-2026,Premium,,31/12/2026,DISPONIBLE,$500 MXN
JL-PREM-SM5Q-2026,Premium,,31/12/2026,DISPONIBLE,$500 MXN
JL-PREM-SQTV-2026,Premium,,31/12/2026,DISPONIBLE,$500 MXN
JL-PREM-A8RO-2026,Premium,,31/12/2026,DISPONIBLE,$500 MXN
